transaction_date,json_block_ticker,ticker_raw,ticker_symbol,owner,asset_description,asset_type,transaction_type,amount,comment,senator,ptr_link
2014-07-23,BMR,"<a href=""https://finance.yahoo.com/q?s=BMR"" target=""_blank"">BMR</a>",BMR,Spouse,BioMed Realty Trust Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/8287dd4c-edca-465c-8008-c792237b3a84/
2015-02-13,BMR,"<a href=""https://finance.yahoo.com/q?s=BMR"" target=""_blank"">BMR</a>",BMR,Joint,BioMed Realty Trust Inc. (NYSE),Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Tillis,https://efdsearch.senate.gov/search/view/ptr/bbdeaa6d-dcb6-41fa-a5d5-cb5e5d10af6b/
