transaction_date,json_block_ticker,ticker_raw,ticker_symbol,owner,asset_description,asset_type,transaction_type,amount,comment,senator,ptr_link
2015-08-12,ARW,"<a href=""https://finance.yahoo.com/q?s=ARW"" target=""_blank"">ARW</a>",ARW,Self,"Arrow Electronics, Inc. (NYSE)",Stock,Purchase,"$50,001 - $100,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/71be1c05-1e18-44c4-8911-115e22f5a620/
2017-01-11,ARW,"<a href=""https://finance.yahoo.com/q?s=ARW"" target=""_blank"">ARW</a>",ARW,Self,"Arrow Electronics, Inc.",Stock,Sale (Full),"$50,001 - $100,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/144997d6-ec78-439e-9c44-1c90b56243bf/
