transaction_date,json_block_ticker,ticker_raw,ticker_symbol,owner,asset_description,asset_type,transaction_type,amount,comment,senator,ptr_link
2014-07-23,ARE,"<a href=""https://finance.yahoo.com/q?s=ARE"" target=""_blank"">ARE</a>",ARE,Spouse,"Alexandria Real Estate Equities, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/8287dd4c-edca-465c-8008-c792237b3a84/
2020-04-02,ARE,"<a href=""https://finance.yahoo.com/q?s=ARE"" target=""_blank"">ARE</a>",ARE,Spouse,"Alexandria Real Estate Equities, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/a1c431fc-093e-4ace-8f0a-4f2ae481556d/
2020-08-21,ARE,"<a href=""https://finance.yahoo.com/q?s=ARE"" target=""_blank"">ARE</a>",ARE,Spouse,"Alexandria Real Estate Equities, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/f0b85f0f-b240-40da-b15e-0caf27b58e1a/
2020-11-20,ARE,"<a href=""https://finance.yahoo.com/q?s=ARE"" target=""_blank"">ARE</a>",ARE,Spouse,"Alexandria Real Estate Equities, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/35aec3a8-60a7-4f06-bae3-3b202949e5e5/
