transaction_date,json_block_ticker,ticker_raw,ticker_symbol,owner,asset_description,asset_type,transaction_type,amount,comment,senator,ptr_link
2014-02-20,AIG,"<a href=""https://finance.yahoo.com/q?s=AIG"" target=""_blank"">AIG</a>",AIG,Spouse,"American International Group, Inc. (NYSE)",,Sale (Partial),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/ef3fe87c-0853-46bf-b406-5d30364ae3fe/
2014-03-18,AIG,"<a href=""https://finance.yahoo.com/q?s=AIG"" target=""_blank"">AIG</a>",AIG,Spouse,"American International Group, Inc. (NYSE)",,Sale (Partial),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/fa1f4bdc-b23d-4f6c-ab85-75203a9e80a2/
2014-09-18,AIG,"<a href=""https://finance.yahoo.com/q?s=AIG"" target=""_blank"">AIG</a>",AIG,Self,"American International Group, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/e632ec04-6a32-4d25-97b0-31230d48b515/
2015-01-14,AIG,"<a href=""https://finance.yahoo.com/q?s=AIG"" target=""_blank"">AIG</a>",AIG,Self,"American International Group, Inc. (NYSE)",Stock,Sale (Full),"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/2596ce07-c156-4060-806c-d3fda6531a74/
2018-11-05,AIG,"<a href=""https://finance.yahoo.com/q?s=AIG"" target=""_blank"">AIG</a>",AIG,Self,"American International Group, Inc.",Stock,Purchase,"$50,001 - $100,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/75695274-99b1-48cf-bf1d-f203108ed861/
2019-07-17,AIG,"<a href=""https://finance.yahoo.com/q?s=AIG"" target=""_blank"">AIG</a>",AIG,Self,"American International Group, Inc.",Stock,Sale (Full),"$50,001 - $100,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/391e03af-1dd2-43ad-97d4-d2c824997104/
2020-03-04,AIG,"<a href=""https://finance.yahoo.com/q?s=AIG"" target=""_blank"">AIG</a>",AIG,Spouse,"American International Group, Inc. <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $40.00 <br> <em>Expires:</em> 08/21/2020 </div>",Stock Option,Sale (Full),"$1,001 - $15,000",Obligation to purchase stock of AIG for $40,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
2020-03-16,AIG,"<a href=""https://finance.yahoo.com/q?s=AIG"" target=""_blank"">AIG</a>",AIG,Spouse,"American International Group, Inc.",Stock,Purchase,"$50,001 - $100,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/2b47d301-0318-4604-bd14-a0b9c1b8437f/
2020-03-27,AIG,"<a href=""https://finance.yahoo.com/q?s=AIG"" target=""_blank"">AIG</a>",AIG,Spouse,"American International Group, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/2b47d301-0318-4604-bd14-a0b9c1b8437f/
2020-04-07,AIG,"<a href=""https://finance.yahoo.com/q?s=AIG"" target=""_blank"">AIG</a>",AIG,Spouse,"American International Group, Inc. <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $40.00 <br> <em>Expires:</em> 08/21/2020 </div>",Stock Option,Purchase,"$50,001 - $100,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/2b47d301-0318-4604-bd14-a0b9c1b8437f/
2020-04-14,AIG,"<a href=""https://finance.yahoo.com/q?s=AIG"" target=""_blank"">AIG</a>",AIG,Spouse,"American International Group, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/2b47d301-0318-4604-bd14-a0b9c1b8437f/
