transaction_date,json_block_ticker,ticker_raw,ticker_symbol,owner,asset_description,asset_type,transaction_type,amount,comment,senator,ptr_link
2014-04-08,AMT,"<a href=""https://finance.yahoo.com/q?s=AMT"" target=""_blank"">AMT</a>",AMT,Self,American Tower Corporation (NYSE),,Sale (Full),"$15,001 - $50,000",--,Cory A Booker,https://efdsearch.senate.gov/search/view/ptr/29d797a6-e3ff-4d76-9ee9-2e3840adb15b/
2014-05-07,AMT,"<a href=""https://finance.yahoo.com/q?s=AMT"" target=""_blank"">AMT</a>",AMT,Spouse,American Tower Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
2014-07-23,AMT,"<a href=""https://finance.yahoo.com/q?s=AMT"" target=""_blank"">AMT</a>",AMT,Spouse,American Tower Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/8287dd4c-edca-465c-8008-c792237b3a84/
2014-08-08,AMT,"<a href=""https://finance.yahoo.com/q?s=AMT"" target=""_blank"">AMT</a>",AMT,Self,American Tower Corporation (NYSE),,Sale (Full),"$50,001 - $100,000",--,Cory A Booker,https://efdsearch.senate.gov/search/view/ptr/7abb2400-6528-4f7f-9739-248dfedc3ca2/
2016-03-31,AMT,"<a href=""https://finance.yahoo.com/q?s=AMT"" target=""_blank"">AMT</a>",AMT,Spouse,American Tower Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,William Cassidy,https://efdsearch.senate.gov/search/view/ptr/56cd23d0-e41f-41a4-9f69-d90722af497a/
2017-03-29,AMT,"<a href=""https://finance.yahoo.com/q?s=AMT"" target=""_blank"">AMT</a>",AMT,Spouse,American Tower Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,William Cassidy,https://efdsearch.senate.gov/search/view/ptr/72c35c48-196f-415b-bbd5-5b9b53f2c8f3/
2017-06-15,AMT,"<a href=""https://finance.yahoo.com/q?s=AMT"" target=""_blank"">AMT</a>",AMT,Spouse,American Tower Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,Patty Murray,https://efdsearch.senate.gov/search/view/ptr/07a7470c-ae50-4a37-8c10-cf1c59a69674/
2017-09-08,AMT,"<a href=""https://finance.yahoo.com/q?s=AMT"" target=""_blank"">AMT</a>",AMT,Spouse,American Tower Corporation,Stock,Purchase,"$1,001 - $15,000",--,Shelley M Capito,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
2019-03-11,AMT,"<a href=""https://finance.yahoo.com/q?s=AMT"" target=""_blank"">AMT</a>",AMT,Spouse,American Tower Corporation (REIT),Stock,Sale (Full),"$1,001 - $15,000",--,Shelley M Capito,https://efdsearch.senate.gov/search/view/ptr/46cecbcc-7c1c-4cbb-aa4f-fa1d2cd63627/
2019-05-15,AMT,"<a href=""https://finance.yahoo.com/q?s=AMT"" target=""_blank"">AMT</a>",AMT,Joint,American Tower Corporation (REIT),Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/2779d26c-934c-4ea5-ad30-a783508dcd9c/
2020-04-14,AMT,"<a href=""https://finance.yahoo.com/q?s=AMT"" target=""_blank"">AMT</a>",AMT,Joint,American Tower Corporation (REIT),Stock,Sale (Full),"$50,001 - $100,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/bc6c5872-1fdd-4e99-857e-08b4ec2c85c8/
2020-12-31,AMT,"<a href=""https://finance.yahoo.com/q?s=AMT"" target=""_blank"">AMT</a>",AMT,Spouse,American Tower Corporation (REIT),Stock,Purchase,"$1,001 - $15,000",--,Shelley M Capito,https://efdsearch.senate.gov/search/view/ptr/5a42cbe1-4c6a-48f6-a2e1-f3652f50340a/
