transaction_date,json_block_ticker,ticker_raw,ticker_symbol,owner,asset_description,asset_type,transaction_type,amount,comment,senator,ptr_link
2015-01-07,AM,"<a href=""https://finance.yahoo.com/q?s=AM"" target=""_blank"">AM</a>",AM,Joint,Antero Midstream Partners LP (NYSE),Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/112fdda9-70c4-4cc5-a386-5c9491ba2d9b/
2015-08-05,AM,"<a href=""https://finance.yahoo.com/q?s=AM"" target=""_blank"">AM</a>",AM,Joint,Antero Midstream Partners LP (NYSE),Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/14b8f364-3356-42e5-980a-597d8d08e01f/
2016-04-11,AM,"<a href=""https://finance.yahoo.com/q?s=AM"" target=""_blank"">AM</a>",AM,Joint,Antero Midstream Partners LP,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3f2bd439-6c08-48d0-9bd7-6e2c010507d9/
2016-07-15,AM,"<a href=""https://finance.yahoo.com/q?s=AM"" target=""_blank"">AM</a>",AM,Joint,Antero Midstream Partners LP,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/01b2a815-4273-4ee6-8d7a-748599283d2c/
2019-01-09,AM,"<a href=""https://finance.yahoo.com/q?s=AM"" target=""_blank"">AM</a>",AM,Joint,Antero Midstream Partners LP,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/89238b4a-a8f4-4ab9-b700-76a7d15d8487/
2019-02-07,AM,"<a href=""https://finance.yahoo.com/q?s=AM"" target=""_blank"">AM</a>",AM,Joint,Antero Midstream Partners LP,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/27190d45-df1c-4988-a69a-3281d4ad02e5/
2019-03-13,AM,"--                                                                                                                            <br>                                            <a href=""https://finance.yahoo.com/q?s=AM"" target=""_blank"">AM</a>",AM,Joint,"Antero Midstream Partners, LP (Exchanged) <br> Antero Midstream Corporation (Received)",Stock,Exchange,"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0e5d9b1e-2b51-42b9-9ead-f05d117260a8/
2019-11-21,AM,"<a href=""https://finance.yahoo.com/q?s=AM"" target=""_blank"">AM</a>",AM,Joint,Antero Midstream Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/685385cc-d42d-46bd-a28d-ddc0a76dd675/
