transaction_date,json_block_ticker,ticker_raw,ticker_symbol,owner,asset_description,asset_type,transaction_type,amount,comment,senator,ptr_link
2014-06-19,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Spouse,Bristol-Myers Squibb Company (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/97d58777-edb5-4319-b360-74709332d937/
2014-07-15,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Joint,Bristol-Myers Squibb Company (NYSE),,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/42514ae3-1a97-4c5d-8b79-ace9e67008e5/
2014-09-18,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Child,Bristol-Myers Squibb Company (NYSE),,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/e632ec04-6a32-4d25-97b0-31230d48b515/
2014-10-14,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Joint,Bristol-Myers Squibb Company (NYSE),,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/ef223527-51b4-4cff-966f-fc2f989d36e8/
2015-02-23,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Child,Bristol-Myers Squibb Company (NYSE),Stock,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/b852990f-aa23-40ed-bcb2-95441817ba41/
2016-08-08,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Self,Bristol-Myers Squibb Company,Stock,Purchase,"$15,001 - $50,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/dcf5325a-571f-4ebb-bf46-74b5a176abc6/
2016-08-11,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Joint,Bristol-Myers Squibb Company,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/a4d6b0f9-fffb-4709-acaf-7b0966e1820d/
2016-08-18,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Child,BMY-Bristol-Myers Squibb Company,Stock,Sale (Full),"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9ccfe7a6-66c2-478e-be77-0db00e97d1ab/
2016-08-22,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Self,Bristol-Myers Squibb Company,Stock,Purchase,"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/49bb4a43-bcf9-4c82-bc9b-0f33fbf9548c/
2017-01-20,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Self,Bristol-Myers Squibb Company,Stock,Sale (Full),"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/8b98c664-7c64-4fe0-a7b9-016b0cc251f3/
2017-02-01,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Self,Bristol-Myers Squibb Company,Stock,Purchase,"$15,001 - $50,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/9e802b2c-9979-4235-ab47-84556a6f4e30/
2017-02-23,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Child,Bristol-Myers Squibb Company,Stock,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/e88cacd7-1411-4d5e-858b-68ec24cd6471/
2017-02-28,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Self,Bristol-Myers Squibb Company,Stock,Sale (Partial),"$15,001 - $50,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/9e802b2c-9979-4235-ab47-84556a6f4e30/
2017-03-16,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Spouse,Bristol-Myers Squibb Company,Stock,Purchase,"$1,001 - $15,000",--,Patty Murray,https://efdsearch.senate.gov/search/view/ptr/66856e4d-4c3b-45dc-8bab-ba2c28323d5d/
2017-03-22,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Joint,Bristol-Myers Squibb Company,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/cc11c936-268c-480d-aea9-c552517017b7/
2017-06-15,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Spouse,Bristol-Myers Squibb Company,Stock,Sale (Full),"$1,001 - $15,000",--,Patty Murray,https://efdsearch.senate.gov/search/view/ptr/07a7470c-ae50-4a37-8c10-cf1c59a69674/
2017-07-13,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Joint,Bristol-Myers Squibb Company,Stock,Sale (Partial),"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/57d23801-d886-410f-972c-e6f46209e9c5/
2017-10-26,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Spouse,Bristol-Myers Squibb Company,Stock,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,https://efdsearch.senate.gov/search/view/ptr/5d2e0b4a-2d16-4cc2-9bd0-7c619e1e8407/
2018-01-04,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Spouse,Bristol-Myers Squibb Company,Stock,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,https://efdsearch.senate.gov/search/view/ptr/f89dfc3f-54f9-46a0-9acc-d4b63323ba9e/
2018-06-04,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Self,Bristol-Myers Squibb Company,Stock,Sale (Full),"$50,001 - $100,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/72b5ca95-5ae4-4bb3-9088-d0bb167e429b/
2018-12-28,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Joint,Bristol-Myers Squibb Company,Stock,Sale (Full),"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/a22bbeeb-0e4f-4993-89e2-ed28ba9f6242/
2019-07-15,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Joint,Bristol-Myers Squibb Company,Stock,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/300d9599-4ab7-4403-a615-c08a033aa6f4/
2019-08-15,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Joint,Bristol-Myers Squibb Company,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/a24f0a3a-e61d-44de-a775-36e7d0a14456/
2020-04-14,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Self,Bristol-Myers Squibb Company,Stock,Sale (Full),"$100,001 - $250,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/2b47d301-0318-4604-bd14-a0b9c1b8437f/
2020-04-14,BMY,"<a href=""https://finance.yahoo.com/q?s=BMY"" target=""_blank"">BMY</a>",BMY,Joint,Bristol-Myers Squibb Company,Stock,Sale (Full),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/bc6c5872-1fdd-4e99-857e-08b4ec2c85c8/
