transaction_date,json_block_ticker,ticker_raw,ticker_symbol,owner,asset_description,asset_type,transaction_type,amount,comment,senator,ptr_link
2020-06-04,AAL,"<a href=""https://finance.yahoo.com/q?s=AAL"" target=""_blank"">AAL</a>",AAL,Spouse,American Airlines Group Inc.,Stock,Purchase,"$1,001 - $15,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/8be9d29a-c980-494e-b719-64794f213978/
2020-06-30,AAL,"<a href=""https://finance.yahoo.com/q?s=AAL"" target=""_blank"">AAL</a>",AAL,Spouse,American Airlines Group Inc.,Stock,Purchase,"$1,001 - $15,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/8be9d29a-c980-494e-b719-64794f213978/
2020-07-02,AAL,"<a href=""https://finance.yahoo.com/q?s=AAL"" target=""_blank"">AAL</a>",AAL,Spouse,American Airlines Group Inc.,Stock,Sale (Full),"$1,001 - $15,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/33d51e53-683b-4cdc-9575-8f72f9a71d57/
2020-07-07,AAL,"<a href=""https://finance.yahoo.com/q?s=AAL"" target=""_blank"">AAL</a>",AAL,Spouse,American Airlines Group Inc.,Stock,Sale (Full),"$1,001 - $15,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/33d51e53-683b-4cdc-9575-8f72f9a71d57/
2020-07-31,AAL,"<a href=""https://finance.yahoo.com/q?s=AAL"" target=""_blank"">AAL</a>",AAL,Spouse,American Airlines Group Inc.,Stock,Sale (Full),"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/33d51e53-683b-4cdc-9575-8f72f9a71d57/
