Feature,Importance
MonthNumber,0.0038728490471839905
DayOfMonth,0.003146618604660034
YesterdayCloseLogR,0.002717152237892151
YesterdayClose,0.0024886876344680786
insider_buy_flag,0.0023126304149627686
YesterdayVolumeLogR,0.002109527587890625
MACD_Signal,0.001853659749031067
YesterdayOpenLogR,0.0016975924372673035
Volatility_10,0.0016116499900817871
MACD,0.0014247521758079529
YesterdayHighLogR,0.001286923885345459
BollingerLower,0.001203984022140503
volatility_5d,0.0009485557675361633
MA10,0.0009315535426139832
sentiment_change,0.0006837546825408936
insider_amount,0.0005677193403244019
skew_5d,0.00046097487211227417
sentiment,0.00043147802352905273
DayOfWeek,0.00029987096786499023
MA20,0.00021795183420181274
fear_greed,0.00020945817232131958
MA30,0.00014346837997436523
insider_shares,9.403377771377563e-05
RSI,-6.957352161407471e-05
overnight_gap,-0.00032098591327667236
EMA10,-0.0004439428448677063
momentum_5d,-0.0004691183567047119
Volatility_30,-0.0007379129528999329
ZScore,-0.0008801817893981934
EMA30,-0.001013144850730896
volatility_20d,-0.0010820776224136353
momentum_20d,-0.001314014196395874
BollingerUpper,-0.0013987347483634949
abnormal_vol,-0.0017001554369926453
num_articles,-0.0018004849553108215
intraday_range,-0.0018246397376060486
Volatility_20,-0.0019951239228248596
close,-0.0019953474402427673
YesterdayLowLogR,-0.002268292009830475
OBV,-0.003127485513687134
fear_greed_correlation,-0.0032139867544174194
