ticker,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
AHCO,-0.137999,-0.317534,0.562913,0.744343,-0.360285,-0.394103,0.060184,0.671236,-0.782371,0.264885,-1.277086,0.534992,0.635080,-0.223942,0.144071,0.564951,0.031234,0.225365,0.688947,0.119305,-0.280636,0.357645,0.269071,0.692889,0.140547,-0.274979,1.209351,0.400625,0.364542,-0.325154,-0.823784,-0.884023
AHG,-0.258235,-0.230491,0.582762,0.688730,-0.382086,-0.449057,-0.083784,0.740490,-0.640872,0.403753,-1.143070,0.560510,0.833267,-0.372020,0.017712,0.614584,-0.199019,0.179114,0.786608,0.186822,-0.379918,0.351650,0.083906,0.645265,-0.081647,-0.153871,1.322512,0.584398,0.294657,-0.261312,-0.902828,-0.752650
AHMA,-0.300283,-0.187368,0.573501,0.726394,-0.412919,-0.482778,-0.111407,0.804003,-0.573384,0.393345,-1.075895,0.564491,0.919426,-0.346308,-0.047228,0.574825,-0.237935,0.177939,0.823821,0.215006,-0.411319,0.357098,0.055330,0.644492,-0.135129,-0.108348,1.358312,0.614930,0.280472,-0.258694,-0.958744,-0.657681
AHR,-0.175564,-0.313512,0.538327,0.777245,-0.392879,-0.394367,0.045964,0.696854,-0.747003,0.255448,-1.235437,0.517459,0.675646,-0.228610,0.127665,0.555858,0.018998,0.245588,0.721058,0.130549,-0.301847,0.359994,0.253278,0.691545,0.121497,-0.226934,1.241872,0.408289,0.338848,-0.308189,-0.851102,-0.839066
AHT,-0.173380,-0.276480,0.570294,0.752361,-0.383891,-0.416698,0.036294,0.689625,-0.737816,0.294810,-1.240509,0.535514,0.709443,-0.238378,0.106473,0.578131,-0.033084,0.220215,0.717705,0.139412,-0.321374,0.362359,0.226712,0.682318,0.069090,-0.228790,1.259281,0.457405,0.341471,-0.295517,-0.863179,-0.844672
AIFF,-0.226885,-0.253880,0.566349,0.722966,-0.384954,-0.434451,-0.023213,0.737172,-0.681169,0.329101,-1.164186,0.547370,0.772970,-0.300294,0.060175,0.573615,-0.092116,0.211375,0.761745,0.176748,-0.347918,0.358488,0.163304,0.655206,-0.000657,-0.182441,1.285487,0.500323,0.321195,-0.277501,-0.882421,-0.781138
AIFU,-0.207241,-0.228706,0.585816,0.748322,-0.391106,-0.451754,-0.006709,0.711891,-0.698465,0.321023,-1.194392,0.555915,0.785007,-0.253878,0.047903,0.581707,-0.105341,0.207912,0.744639,0.166532,-0.351497,0.366871,0.182199,0.672359,-0.002770,-0.196640,1.291291,0.518938,0.329790,-0.274807,-0.895010,-0.783757
AIG,-0.149575,-0.338394,0.550139,0.749739,-0.359619,-0.381035,0.053698,0.682339,-0.776364,0.275854,-1.274561,0.519408,0.630784,-0.237705,0.156572,0.563784,0.026909,0.234699,0.695348,0.111803,-0.283768,0.358632,0.260515,0.693730,0.148218,-0.275254,1.211621,0.393662,0.357830,-0.333858,-0.815526,-0.888865
AIHS,-0.277509,-0.252913,0.564403,0.691459,-0.367525,-0.428637,-0.088343,0.748873,-0.633394,0.415844,-1.135340,0.556607,0.820048,-0.392547,0.041302,0.595830,-0.180446,0.178948,0.793459,0.191736,-0.372847,0.346689,0.071570,0.640104,-0.067987,-0.158558,1.310998,0.565104,0.303240,-0.270832,-0.886742,-0.752719
AIIA,-0.355726,-0.363921,0.541824,0.634026,-0.193769,-0.265768,-0.211017,0.616358,-0.617359,0.691490,-1.183890,0.531823,0.725962,-0.659217,0.168833,0.648862,-0.333692,0.031585,0.768631,0.114964,-0.383218,0.277329,-0.097626,0.570838,-0.092213,-0.270252,1.278341,0.719979,0.254422,-0.339666,-0.798725,-0.828313
