ticker,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
AMBP,-0.160126,-0.310964,0.557358,0.751148,-0.371692,-0.393342,0.048060,0.678968,-0.761823,0.283166,-1.260887,0.527749,0.662041,-0.238539,0.139033,0.575781,0.004548,0.234220,0.704728,0.122681,-0.302330,0.359972,0.249798,0.686484,0.115747,-0.250837,1.235389,0.419364,0.348047,-0.313316,-0.836182,-0.871280
AMBQ,-0.118159,-0.308576,0.576707,0.728577,-0.346195,-0.402370,0.071225,0.658301,-0.798092,0.263182,-1.288614,0.549613,0.626930,-0.214625,0.140544,0.567479,0.035051,0.212857,0.675962,0.119711,-0.271060,0.356714,0.280903,0.690114,0.138956,-0.290150,1.195619,0.402823,0.377702,-0.327306,-0.817746,-0.894724
AMBR,-0.193359,-0.216305,0.569155,0.780261,-0.432106,-0.464370,0.024342,0.728051,-0.706327,0.236563,-1.170489,0.552072,0.785113,-0.200998,0.032452,0.543567,-0.030043,0.226825,0.748216,0.179320,-0.327712,0.363868,0.225398,0.680680,0.029171,-0.171919,1.278138,0.469156,0.337150,-0.261538,-0.911233,-0.751967
AMCR,-0.150222,-0.335201,0.552169,0.748224,-0.357791,-0.381932,0.052068,0.676206,-0.778903,0.279964,-1.274277,0.523326,0.630597,-0.239510,0.156914,0.569496,0.024513,0.234471,0.693449,0.112675,-0.285382,0.358146,0.261219,0.691180,0.145931,-0.275842,1.214564,0.397338,0.359056,-0.332209,-0.815357,-0.889077
AMCX,-0.130808,-0.320281,0.567030,0.736696,-0.350734,-0.393041,0.061438,0.666808,-0.790702,0.270039,-1.284576,0.536607,0.626261,-0.224213,0.149203,0.566962,0.030400,0.219430,0.683154,0.117029,-0.275771,0.357895,0.270907,0.694197,0.144337,-0.287466,1.203227,0.400681,0.369783,-0.329884,-0.813861,-0.894637
AMC,-0.118595,-0.322112,0.578369,0.721635,-0.338207,-0.393442,0.071222,0.660420,-0.802417,0.274560,-1.298003,0.547811,0.611800,-0.228786,0.158425,0.566973,0.035026,0.208155,0.667939,0.116403,-0.266680,0.353655,0.275769,0.684949,0.150378,-0.307762,1.184552,0.398542,0.381076,-0.337919,-0.802195,-0.914377
AMPGW,-0.209192,-0.124779,0.541961,0.702741,-0.395721,-0.538305,-0.114312,0.773023,-0.526348,0.271759,-1.122011,0.480401,0.871796,-0.190072,-0.142633,0.604428,-0.250715,0.164975,0.846912,0.195049,-0.408517,0.402669,0.092876,0.754566,-0.142379,-0.065985,1.387471,0.684951,0.183896,-0.303362,-0.985154,-0.554553
AMPG,-0.126378,-0.274781,0.593194,0.725409,-0.355496,-0.421912,0.061599,0.656572,-0.787581,0.271710,-1.277664,0.563737,0.659840,-0.216413,0.120527,0.577697,0.007261,0.204962,0.681345,0.134555,-0.285664,0.358783,0.265247,0.684001,0.104849,-0.274721,1.214682,0.433603,0.373531,-0.306134,-0.832650,-0.880397
AMPH,-0.138688,-0.324647,0.558926,0.745997,-0.359974,-0.391913,0.061083,0.675790,-0.782748,0.264878,-1.276354,0.531408,0.632182,-0.225659,0.148214,0.561118,0.034316,0.226294,0.689181,0.119033,-0.277329,0.356929,0.269124,0.692892,0.146002,-0.277625,1.205407,0.395923,0.366125,-0.329697,-0.820042,-0.885616
AMPL,-0.149089,-0.304036,0.561685,0.755398,-0.374912,-0.403672,0.055648,0.683591,-0.771875,0.260067,-1.257092,0.535354,0.660608,-0.220425,0.130732,0.558780,0.022852,0.225004,0.700391,0.131913,-0.286369,0.358987,0.262580,0.692449,0.124807,-0.259154,1.223970,0.408145,0.361794,-0.313878,-0.837190,-0.866741
AMPX,-0.112481,-0.262167,0.595536,0.723643,-0.358344,-0.431197,0.064063,0.652787,-0.801041,0.240471,-1.276579,0.573349,0.653436,-0.194557,0.106257,0.570080,0.032428,0.208693,0.673738,0.133854,-0.272727,0.357420,0.282913,0.689701,0.117434,-0.276167,1.201908,0.420877,0.383419,-0.304711,-0.831089,-0.865726
AMPY,-0.135414,-0.294243,0.581174,0.729379,-0.351896,-0.406038,0.056762,0.658140,-0.785748,0.278461,-1.279435,0.550812,0.647337,-0.228471,0.135926,0.579204,0.010371,0.215043,0.683437,0.124651,-0.287367,0.358254,0.263068,0.683603,0.117059,-0.275337,1.215273,0.425685,0.366790,-0.314587,-0.824708,-0.887250
AMRC,-0.114016,-0.303858,0.581570,0.722449,-0.341619,-0.403660,0.068439,0.653117,-0.808962,0.257113,-1.290973,0.556468,0.618731,-0.215187,0.142278,0.566720,0.042916,0.214414,0.667585,0.118523,-0.264817,0.354523,0.284602,0.687945,0.148270,-0.300289,1.183781,0.398969,0.384637,-0.329611,-0.805747,-0.896522
AMRK,-0.143245,-0.310543,0.569723,0.737084,-0.355526,-0.393328,0.051984,0.666277,-0.777191,0.284613,-1.282640,0.533626,0.642092,-0.237624,0.148395,0.579465,0.010492,0.224350,0.689972,0.116871,-0.290608,0.358835,0.254356,0.689875,0.126117,-0.272997,1.220249,0.417429,0.357938,-0.320386,-0.819234,-0.891791
AMRN,-0.150961,-0.297463,0.564098,0.751983,-0.376049,-0.405905,0.055368,0.679972,-0.762652,0.265862,-1.260484,0.534338,0.666827,-0.221363,0.125924,0.567087,0.012927,0.224674,0.702056,0.130843,-0.295107,0.359637,0.255930,0.690831,0.113017,-0.248954,1.230590,0.420560,0.353935,-0.308842,-0.845158,-0.861712
AMRX,-0.135730,-0.330556,0.559405,0.739279,-0.350922,-0.385315,0.058804,0.668842,-0.789451,0.270780,-1.284528,0.530055,0.621299,-0.229039,0.155003,0.567321,0.035100,0.228979,0.684238,0.110686,-0.276346,0.356756,0.269968,0.694558,0.152708,-0.285334,1.201325,0.392321,0.366901,-0.334278,-0.810091,-0.893269
AMRZ,-0.182380,-0.310450,0.539205,0.777237,-0.396641,-0.395371,0.041284,0.700709,-0.736845,0.269165,-1.233835,0.512019,0.688308,-0.231533,0.124678,0.563147,0.002334,0.244809,0.727547,0.131137,-0.311567,0.361864,0.241038,0.692618,0.107095,-0.219311,1.255983,0.419289,0.332757,-0.304434,-0.859079,-0.836777
AMR,-0.132805,-0.306833,0.566964,0.742969,-0.363075,-0.403170,0.062369,0.673326,-0.784788,0.253920,-1.273529,0.540093,0.640520,-0.213398,0.134381,0.559886,0.035758,0.222170,0.687249,0.124987,-0.276040,0.357633,0.273128,0.695133,0.138394,-0.273609,1.206424,0.400904,0.370022,-0.321854,-0.825981,-0.876887
AMSC,-0.147481,-0.280130,0.565414,0.754934,-0.380793,-0.417304,0.051261,0.677918,-0.766305,0.244277,-1.247594,0.543591,0.676012,-0.206956,0.108085,0.560986,0.021034,0.227224,0.704196,0.137446,-0.291278,0.360512,0.264822,0.693787,0.110882,-0.241370,1.230226,0.420065,0.356351,-0.300635,-0.848895,-0.840750
AMSF,-0.169675,-0.323850,0.541766,0.770522,-0.384242,-0.389726,0.048776,0.698787,-0.753853,0.264152,-1.247024,0.515075,0.664077,-0.231953,0.137620,0.555065,0.019147,0.239686,0.714764,0.125819,-0.295880,0.360007,0.252736,0.693699,0.128718,-0.243276,1.234327,0.402614,0.344896,-0.317157,-0.840976,-0.857367
AMST,-0.180301,-0.279316,0.592622,0.720563,-0.338309,-0.407480,0.010664,0.665429,-0.736569,0.361504,-1.261456,0.548453,0.700445,-0.277399,0.121644,0.607610,-0.094128,0.186926,0.708216,0.133571,-0.337098,0.363578,0.194554,0.667454,0.041705,-0.257493,1.260661,0.508094,0.335169,-0.303802,-0.845137,-0.867542
AMS,-0.204993,-0.294550,0.579959,0.717257,-0.333043,-0.389168,-0.013251,0.663696,-0.719347,0.401466,-1.254103,0.539563,0.707005,-0.324610,0.132753,0.622110,-0.121169,0.192707,0.715644,0.122560,-0.353195,0.354930,0.165613,0.652222,0.028206,-0.248247,1.270423,0.526158,0.320675,-0.305774,-0.845263,-0.869553
AMTB,-0.141682,-0.328245,0.556047,0.744237,-0.359844,-0.387880,0.057407,0.677322,-0.779949,0.271225,-1.277560,0.525129,0.632480,-0.228625,0.149653,0.566079,0.028787,0.230134,0.691552,0.114506,-0.282630,0.358121,0.264110,0.696102,0.144613,-0.274397,1.211125,0.396404,0.360809,-0.329879,-0.818051,-0.886671
AMTD,-0.179579,-0.287094,0.579764,0.726987,-0.352556,-0.404418,0.012003,0.671075,-0.729946,0.359052,-1.263427,0.532056,0.701973,-0.276669,0.120888,0.612825,-0.086888,0.205414,0.712659,0.125118,-0.340216,0.363897,0.195276,0.677124,0.046593,-0.244939,1.268482,0.499698,0.330768,-0.305039,-0.850965,-0.865068
AMTM,-0.141771,-0.318961,0.562059,0.744714,-0.360892,-0.393721,0.056875,0.675715,-0.781227,0.268007,-1.274277,0.531781,0.638305,-0.225608,0.144281,0.565443,0.026922,0.227052,0.691362,0.119455,-0.282479,0.358803,0.265203,0.693852,0.138796,-0.274531,1.212699,0.401115,0.363690,-0.325672,-0.821627,-0.883982
AMTX,-0.143735,-0.259377,0.581264,0.746267,-0.384667,-0.434101,0.054424,0.677909,-0.763717,0.246522,-1.246825,0.557120,0.692645,-0.203268,0.094307,0.564059,0.010580,0.217491,0.699574,0.145710,-0.294222,0.357886,0.260118,0.688006,0.093144,-0.239409,1.231984,0.434508,0.361718,-0.291589,-0.859203,-0.837828
AMT,-0.164484,-0.330917,0.538647,0.769201,-0.380773,-0.387157,0.051660,0.697384,-0.759295,0.258428,-1.251711,0.513866,0.652658,-0.229115,0.141505,0.551569,0.027924,0.239040,0.710910,0.123811,-0.290208,0.359102,0.258148,0.695575,0.140218,-0.249849,1.225082,0.395435,0.346874,-0.323271,-0.835155,-0.860456
AM,-0.150864,-0.336832,0.547320,0.755214,-0.363707,-0.381894,0.054163,0.683083,-0.776651,0.267764,-1.269382,0.520050,0.632246,-0.233187,0.153763,0.559773,0.032800,0.236648,0.697321,0.114715,-0.282282,0.358430,0.264247,0.695390,0.150798,-0.270936,1.212624,0.390071,0.357774,-0.331604,-0.818788,-0.881757
ANNA,-0.261994,-0.209458,0.589585,0.709315,-0.394875,-0.472699,-0.078879,0.751626,-0.651169,0.364656,-1.119133,0.575325,0.843197,-0.341450,-0.002982,0.596238,-0.168611,0.201084,0.786222,0.199255,-0.376591,0.361895,0.119349,0.629347,-0.079026,-0.151591,1.316530,0.566040,0.310153,-0.253853,-0.909696,-0.731448
ANNX,-0.125350,-0.272487,0.584973,0.735903,-0.367429,-0.424656,0.063255,0.661531,-0.786536,0.245861,-1.268284,0.562631,0.659963,-0.202535,0.111303,0.566707,0.031422,0.217001,0.682399,0.132585,-0.279397,0.356068,0.276252,0.688592,0.115981,-0.263748,1.210394,0.417098,0.375743,-0.304868,-0.840317,-0.861366
ANPA,-0.193190,-0.228519,0.612568,0.704794,-0.343252,-0.444663,-0.015387,0.668614,-0.710144,0.368663,-1.224712,0.580527,0.757520,-0.291556,0.067631,0.615685,-0.142539,0.154058,0.725272,0.162230,-0.355762,0.356693,0.161289,0.651187,-0.013519,-0.229451,1.278892,0.565750,0.316584,-0.285964,-0.876745,-0.810663
ANRO,-0.141192,-0.261816,0.586735,0.735084,-0.366520,-0.425927,0.049899,0.657644,-0.767249,0.270490,-1.264762,0.556947,0.680607,-0.212340,0.105770,0.584233,-0.006373,0.208918,0.695978,0.136566,-0.302220,0.360821,0.253824,0.685750,0.086120,-0.247305,1.237129,0.451297,0.354812,-0.293527,-0.852268,-0.852809
ANSC,-0.411903,-0.332189,0.504793,0.657422,-0.298331,-0.325022,-0.221135,0.749414,-0.541571,0.628003,-1.079781,0.541298,0.844988,-0.638851,0.090304,0.620388,-0.317572,0.105905,0.862181,0.185827,-0.403494,0.306008,-0.115486,0.582850,-0.155397,-0.143051,1.353932,0.659423,0.248894,-0.276816,-0.868769,-0.738737
ANTA,-0.235362,-0.246271,0.561826,0.756989,-0.408969,-0.431861,-0.025088,0.736013,-0.673843,0.338425,-1.179235,0.528519,0.797964,-0.278606,0.048875,0.589835,-0.123248,0.237271,0.766059,0.153073,-0.370432,0.371805,0.162754,0.672099,-0.010148,-0.168683,1.314254,0.518612,0.311059,-0.275181,-0.900484,-0.772377
ANTX,-0.229126,-0.236027,0.564933,0.768485,-0.413984,-0.438235,-0.012056,0.722066,-0.673806,0.315963,-1.175182,0.537719,0.797963,-0.261135,0.051733,0.587549,-0.099891,0.232055,0.765066,0.161218,-0.367446,0.368384,0.171280,0.672978,-0.007526,-0.155554,1.317753,0.510527,0.304772,-0.258857,-0.911768,-0.760777
ANVS,-0.140788,-0.259982,0.599183,0.724863,-0.356961,-0.428294,0.048886,0.655891,-0.771960,0.288669,-1.268461,0.570133,0.682145,-0.226257,0.109027,0.588238,-0.020609,0.200041,0.688933,0.137909,-0.302496,0.358930,0.248265,0.676341,0.077202,-0.261322,1.232685,0.460273,0.363069,-0.296459,-0.846716,-0.866210
ANY,-0.156212,-0.240017,0.598807,0.740727,-0.378780,-0.444428,0.042818,0.674305,-0.760690,0.273907,-1.237695,0.577736,0.715966,-0.220449,0.086143,0.574492,-0.022923,0.199716,0.701351,0.156170,-0.306854,0.358418,0.244528,0.668256,0.061421,-0.241700,1.241112,0.464201,0.363790,-0.283279,-0.866634,-0.836249
AOD,-0.164631,-0.340835,0.534068,0.767820,-0.374390,-0.378726,0.049242,0.693722,-0.764462,0.262133,-1.254961,0.511886,0.641092,-0.237003,0.152133,0.554402,0.031683,0.245670,0.708763,0.117476,-0.287486,0.359534,0.260766,0.693787,0.149308,-0.255608,1.222068,0.388794,0.347084,-0.329846,-0.825727,-0.868573
AOMD,-0.214773,-0.292751,0.544382,0.749964,-0.388145,-0.404066,-0.011840,0.717618,-0.700388,0.342880,-1.216777,0.504108,0.735081,-0.283762,0.096294,0.601391,-0.085879,0.260003,0.742051,0.121818,-0.356570,0.368429,0.185231,0.677827,0.042372,-0.201245,1.288680,0.481226,0.322035,-0.304480,-0.863094,-0.822254
AOMN,-0.227764,-0.285085,0.537580,0.775489,-0.412247,-0.404599,-0.003509,0.725866,-0.689838,0.322249,-1.197189,0.504213,0.756998,-0.273900,0.093251,0.587190,-0.074360,0.264991,0.757334,0.131872,-0.359197,0.366724,0.186949,0.680071,0.037707,-0.175673,1.304096,0.471695,0.310530,-0.284329,-0.880081,-0.802245
AOMR,-0.151459,-0.326223,0.559858,0.738401,-0.351776,-0.382431,0.046568,0.667878,-0.774833,0.301559,-1.279647,0.523168,0.639524,-0.250154,0.157875,0.584167,0.002929,0.231392,0.694273,0.110161,-0.296421,0.358355,0.250016,0.686991,0.127132,-0.274937,1.224303,0.416944,0.354206,-0.327484,-0.815574,-0.897179
AORT,-0.164194,-0.313219,0.547709,0.765347,-0.380963,-0.394132,0.048372,0.688033,-0.758598,0.264095,-1.249717,0.522894,0.664637,-0.228563,0.134109,0.562032,0.017093,0.236975,0.712003,0.127927,-0.296355,0.360424,0.255790,0.691917,0.123716,-0.243495,1.236327,0.409664,0.346967,-0.312712,-0.842065,-0.857023
AOSL,-0.114063,-0.317846,0.578702,0.715924,-0.331644,-0.391425,0.067894,0.647613,-0.806313,0.276027,-1.303324,0.548222,0.607343,-0.227503,0.157021,0.576627,0.032377,0.210834,0.666736,0.110034,-0.270366,0.354773,0.277111,0.687480,0.149440,-0.306823,1.186200,0.404683,0.376592,-0.337017,-0.797848,-0.911237
AOS,-0.152663,-0.337363,0.547544,0.755407,-0.365069,-0.381827,0.055380,0.684325,-0.774182,0.267835,-1.269838,0.520794,0.632910,-0.234426,0.153712,0.560372,0.030843,0.234967,0.697955,0.115425,-0.284344,0.358734,0.263606,0.692418,0.149244,-0.269823,1.213650,0.392047,0.355269,-0.331418,-0.820766,-0.881667
AOUT,-0.128813,-0.312343,0.574852,0.728597,-0.347204,-0.397957,0.060631,0.662964,-0.788637,0.278973,-1.289355,0.540364,0.631848,-0.226382,0.146527,0.573847,0.019876,0.214973,0.680043,0.116418,-0.280235,0.356943,0.264850,0.691401,0.133258,-0.287279,1.204929,0.410278,0.369748,-0.326353,-0.815490,-0.898614
APAD,-0.475625,-0.280463,0.468531,0.642093,-0.406503,-0.404153,-0.282207,0.903024,-0.434994,0.563241,-0.944139,0.511086,0.981150,-0.646335,-0.059224,0.613331,-0.369121,0.179879,0.959988,0.251382,-0.464206,0.333583,-0.135534,0.562174,-0.265146,0.004658,1.425757,0.684345,0.219696,-0.235618,-0.954887,-0.610009
APAM,-0.158498,-0.328264,0.544722,0.763446,-0.375699,-0.387875,0.052461,0.691164,-0.765137,0.260909,-1.257390,0.519472,0.648074,-0.229267,0.142721,0.555898,0.028853,0.237892,0.705387,0.121392,-0.287891,0.359220,0.261032,0.694615,0.140756,-0.255671,1.222184,0.395231,0.351585,-0.324192,-0.831579,-0.865845
APA,-0.143451,-0.312882,0.555616,0.753654,-0.370716,-0.399295,0.057094,0.678039,-0.777657,0.249455,-1.263127,0.533426,0.644109,-0.217180,0.133518,0.557872,0.038365,0.234192,0.694468,0.122722,-0.280505,0.357789,0.271248,0.694608,0.141343,-0.262167,1.211194,0.396797,0.362365,-0.321074,-0.830457,-0.864242
APD,-0.138543,-0.342916,0.554251,0.739740,-0.347750,-0.378111,0.057474,0.673058,-0.788031,0.279354,-1.286998,0.522217,0.614765,-0.237560,0.165000,0.567475,0.032182,0.231037,0.685565,0.107294,-0.276925,0.358151,0.265718,0.695080,0.157025,-0.289659,1.202529,0.389359,0.364216,-0.340315,-0.804503,-0.903815
APEI,-0.141468,-0.304977,0.565948,0.741212,-0.362316,-0.400439,0.055526,0.671054,-0.778195,0.267821,-1.270219,0.537095,0.648577,-0.224464,0.135524,0.570100,0.020856,0.227792,0.692341,0.121095,-0.286316,0.357914,0.262513,0.691494,0.126834,-0.265335,1.216766,0.410707,0.361668,-0.317431,-0.826930,-0.875216
APGE,-0.131910,-0.302047,0.573655,0.736135,-0.355684,-0.403014,0.060950,0.662492,-0.786984,0.264165,-1.280590,0.544265,0.640060,-0.218091,0.135334,0.571084,0.026876,0.221609,0.684097,0.120705,-0.280670,0.358120,0.270243,0.692194,0.130610,-0.274180,1.209616,0.409955,0.368684,-0.318660,-0.824386,-0.881618
APG,-0.144753,-0.330462,0.556188,0.743193,-0.355185,-0.384621,0.051934,0.673323,-0.780908,0.279695,-1.278000,0.524882,0.630564,-0.235718,0.154395,0.571203,0.023346,0.232292,0.691663,0.111828,-0.284948,0.358599,0.261351,0.693087,0.142992,-0.277841,1.213330,0.400591,0.359859,-0.331137,-0.814591,-0.890212
APH,-0.135429,-0.329842,0.558620,0.738240,-0.350656,-0.385991,0.058402,0.669419,-0.790659,0.267420,-1.282268,0.530616,0.620128,-0.228881,0.153020,0.566001,0.036083,0.232498,0.684101,0.110160,-0.276404,0.357942,0.271140,0.693606,0.153857,-0.284902,1.199034,0.391794,0.366715,-0.335644,-0.807713,-0.891232
API,-0.147691,-0.298838,0.566262,0.748864,-0.375520,-0.406298,0.055783,0.679266,-0.769857,0.264692,-1.260854,0.538310,0.663753,-0.222562,0.127165,0.567164,0.018446,0.228672,0.698129,0.128266,-0.291777,0.357341,0.259756,0.689098,0.118439,-0.254207,1.224737,0.413740,0.360271,-0.311260,-0.839084,-0.864621
APLD,-0.102882,-0.272841,0.595191,0.721177,-0.350782,-0.425094,0.072928,0.647610,-0.811484,0.235354,-1.286642,0.576977,0.632244,-0.192341,0.116984,0.565199,0.048923,0.205544,0.664302,0.131191,-0.261943,0.355529,0.294054,0.687757,0.135247,-0.291239,1.186062,0.408248,0.392152,-0.314392,-0.823084,-0.877662
APLE,-0.146653,-0.335447,0.551360,0.748134,-0.359361,-0.382695,0.055408,0.680251,-0.780205,0.271056,-1.274543,0.523063,0.628914,-0.234069,0.155064,0.563047,0.031685,0.234349,0.692978,0.112028,-0.280770,0.357650,0.264484,0.693337,0.150400,-0.276461,1.209093,0.390520,0.360191,-0.333795,-0.814939,-0.888632
APUS,-0.159282,-0.210418,0.615282,0.730239,-0.380630,-0.465516,0.026209,0.671576,-0.752688,0.286367,-1.223350,0.589552,0.748219,-0.227077,0.054603,0.590605,-0.057795,0.200103,0.706695,0.164596,-0.322129,0.363507,0.228274,0.665540,0.026072,-0.228253,1.259469,0.496313,0.360127,-0.269758,-0.877173,-0.816770
APVO,-0.213497,-0.266233,0.581565,0.732407,-0.344447,-0.413441,-0.011880,0.690572,-0.702594,0.372982,-1.218885,0.546094,0.744785,-0.294629,0.101219,0.586095,-0.123516,0.165205,0.733093,0.149429,-0.347830,0.353830,0.156270,0.662207,0.011281,-0.236619,1.275379,0.533084,0.320798,-0.301192,-0.869203,-0.827131
APWC,-0.224892,-0.269416,0.571785,0.740137,-0.378129,-0.414517,-0.026136,0.702696,-0.690297,0.378450,-1.213253,0.532782,0.764274,-0.311203,0.086056,0.613835,-0.133198,0.225235,0.744562,0.139973,-0.369799,0.367049,0.158503,0.660409,-0.001910,-0.202080,1.300647,0.528844,0.314869,-0.283530,-0.876187,-0.820262
APXT,-0.555536,-0.304744,0.436133,0.576362,-0.369505,-0.343620,-0.336704,0.921512,-0.406054,0.654770,-0.885029,0.548717,0.999357,-0.813616,-0.024239,0.574546,-0.383235,0.113893,1.018560,0.306312,-0.422718,0.284102,-0.269473,0.532269,-0.301098,0.018586,1.413396,0.676626,0.229771,-0.224990,-0.903171,-0.609424
APYX,-0.136136,-0.256704,0.601772,0.716277,-0.354116,-0.428672,0.046017,0.651808,-0.775010,0.293018,-1.274131,0.565658,0.681445,-0.227226,0.107723,0.596227,-0.027058,0.202205,0.686417,0.132399,-0.304348,0.360103,0.246315,0.678490,0.075122,-0.263441,1.231743,0.463299,0.361655,-0.296456,-0.840853,-0.872563
AP,-0.154490,-0.239563,0.586488,0.746421,-0.393240,-0.444538,0.037312,0.678831,-0.750061,0.263300,-1.233297,0.557733,0.723407,-0.211047,0.073448,0.580492,-0.018851,0.225160,0.711899,0.146119,-0.313348,0.361754,0.242135,0.687507,0.061394,-0.217221,1.254788,0.458743,0.351786,-0.276538,-0.872026,-0.817259
AQB,-0.208546,-0.244453,0.589910,0.725875,-0.371241,-0.434236,-0.016030,0.693705,-0.694082,0.363614,-1.206124,0.561791,0.772720,-0.298799,0.073713,0.603995,-0.121297,0.191596,0.737589,0.155416,-0.354401,0.355876,0.153805,0.660009,-0.010344,-0.202329,1.288965,0.530864,0.319911,-0.274267,-0.885920,-0.803739
AQMS,-0.155114,-0.281785,0.616749,0.682824,-0.294246,-0.405182,0.016263,0.630129,-0.768538,0.383917,-1.285803,0.579295,0.663485,-0.304561,0.144896,0.612168,-0.097447,0.128530,0.676293,0.131539,-0.315376,0.342243,0.193582,0.646791,0.053587,-0.311021,1.220909,0.523353,0.347332,-0.318987,-0.815973,-0.909486
AQNB,-0.188625,-0.328201,0.563349,0.728878,-0.334400,-0.365092,0.015596,0.655952,-0.739071,0.375928,-1.277771,0.519001,0.661747,-0.304632,0.171878,0.618313,-0.069754,0.219428,0.708128,0.106861,-0.336707,0.359432,0.201592,0.662344,0.077099,-0.260859,1.260566,0.478069,0.324168,-0.317607,-0.824798,-0.901019
AQN,-0.160373,-0.326218,0.547261,0.758887,-0.373187,-0.388009,0.048640,0.688612,-0.765369,0.272278,-1.259103,0.519773,0.651178,-0.235348,0.143981,0.562864,0.021060,0.240251,0.704952,0.119220,-0.292428,0.359134,0.256067,0.692298,0.134762,-0.256370,1.225558,0.401259,0.352490,-0.323356,-0.830141,-0.870694
AQST,-0.153135,-0.281036,0.573858,0.747865,-0.374670,-0.414855,0.050240,0.673813,-0.763408,0.272020,-1.254876,0.546511,0.681069,-0.223130,0.116370,0.572954,0.000680,0.221273,0.702528,0.135187,-0.299526,0.359171,0.251879,0.685174,0.096467,-0.245158,1.236206,0.434392,0.355204,-0.299104,-0.849112,-0.855313
ARAI,-0.135053,-0.274739,0.613919,0.701896,-0.310690,-0.414487,0.050470,0.644063,-0.781754,0.325206,-1.289135,0.577453,0.653998,-0.248112,0.142623,0.580563,-0.047946,0.134142,0.673482,0.141466,-0.292620,0.348519,0.233210,0.661136,0.084162,-0.314582,1.205296,0.482993,0.364741,-0.319849,-0.822735,-0.910039
ARAY,-0.145078,-0.290464,0.570240,0.751549,-0.373980,-0.414081,0.058996,0.680262,-0.770512,0.256661,-1.257294,0.543426,0.668916,-0.214068,0.121258,0.557295,0.018573,0.214869,0.698428,0.139519,-0.285472,0.358322,0.262776,0.690604,0.114273,-0.258279,1.223069,0.417194,0.363889,-0.307748,-0.842879,-0.864212
ARBB,-0.209705,-0.270338,0.590230,0.704997,-0.336116,-0.411888,-0.028984,0.673531,-0.695906,0.409510,-1.230650,0.554381,0.742846,-0.329740,0.100939,0.621539,-0.151249,0.164897,0.730544,0.144741,-0.361426,0.352490,0.136350,0.656912,-0.008216,-0.227705,1.285389,0.556671,0.310562,-0.292627,-0.865771,-0.832650
ARBEW,-0.135412,-0.185234,0.614884,0.724695,-0.372914,-0.487877,0.025260,0.688572,-0.745479,0.252361,-1.226938,0.573575,0.754902,-0.173629,0.021204,0.563448,-0.063682,0.167218,0.718159,0.172356,-0.313321,0.367444,0.236773,0.691423,0.020849,-0.243521,1.248357,0.516165,0.355025,-0.285603,-0.881110,-0.786550
ARBE,-0.105774,-0.296612,0.612237,0.686460,-0.306069,-0.403127,0.066663,0.625225,-0.821270,0.310207,-1.318103,0.576526,0.607361,-0.248007,0.161321,0.595650,-0.001398,0.179517,0.647209,0.117244,-0.273786,0.352262,0.269188,0.663613,0.124867,-0.335911,1.179003,0.438964,0.388264,-0.334061,-0.786563,-0.945033
ARBKL,-0.180739,-0.274042,0.614804,0.669201,-0.282756,-0.400603,-0.032005,0.631470,-0.736379,0.432380,-1.286297,0.564154,0.684026,-0.347165,0.124309,0.640226,-0.169289,0.129979,0.691983,0.125167,-0.348069,0.354314,0.148390,0.642198,0.011197,-0.295012,1.244393,0.585014,0.320623,-0.324407,-0.819229,-0.886825
ARBK,-0.186722,-0.235000,0.600631,0.702543,-0.339384,-0.436548,-0.007793,0.679020,-0.728306,0.331504,-1.217809,0.571623,0.729771,-0.274482,0.076613,0.592600,-0.097738,0.173955,0.714205,0.155183,-0.338064,0.355548,0.193933,0.644092,0.017186,-0.241038,1.251303,0.527138,0.334322,-0.296028,-0.854766,-0.819603
ARCB,-0.140039,-0.313366,0.561983,0.744730,-0.363354,-0.396185,0.058528,0.672521,-0.779267,0.261974,-1.273240,0.534873,0.639673,-0.221689,0.139510,0.565473,0.028948,0.226391,0.691570,0.120843,-0.283119,0.357464,0.268164,0.693503,0.136887,-0.268911,1.213106,0.403417,0.361177,-0.321794,-0.826657,-0.877261
ARCC,-0.146446,-0.344823,0.547297,0.747795,-0.355462,-0.377257,0.055400,0.681089,-0.780572,0.274115,-1.277259,0.517434,0.621489,-0.238075,0.161833,0.561863,0.033010,0.234628,0.692062,0.109738,-0.279271,0.357362,0.263625,0.694790,0.156733,-0.280544,1.206068,0.387324,0.359099,-0.339062,-0.809382,-0.894076
ARCO,-0.168012,-0.313145,0.547989,0.765254,-0.383715,-0.394551,0.046445,0.691938,-0.754083,0.269710,-1.248551,0.520806,0.670385,-0.233011,0.133352,0.564177,0.010829,0.239040,0.714300,0.127235,-0.300602,0.360814,0.250129,0.692047,0.118216,-0.239470,1.241124,0.412477,0.344545,-0.310477,-0.843965,-0.856990
ARCT,-0.129705,-0.289193,0.578139,0.738695,-0.364395,-0.415252,0.063732,0.667761,-0.784323,0.254092,-1.271660,0.552139,0.653035,-0.209026,0.122869,0.563945,0.028888,0.214111,0.685024,0.130307,-0.278857,0.355718,0.272216,0.690650,0.124394,-0.270539,1.208439,0.412041,0.373044,-0.313309,-0.833661,-0.870811
