run_date,date,as_of_close_date,ticker,status,best_horizon,best_pred_prob,best_pred_std,best_adj_prob,close
2026-04-19,2026-04-19,2026-04-17,ALNY,buy_candidate,1d,0.22116892039775848,0.055640291422605515,0.22116892039775848,309.66
2026-04-19,2026-04-19,2026-04-15,BSLK,buy_candidate,1m,0.21542291343212128,0.03518340736627579,0.21542291343212128,0.0701
2026-04-19,2026-04-19,2026-04-17,ALISU,buy_candidate,6m,0.2140236794948578,0.03422485664486885,0.2140236794948578,10.51
2026-04-19,2026-04-19,2026-04-17,ANSC,buy_candidate,6m,0.21291004121303558,0.03293422982096672,0.21291004121303558,11.29
2026-04-19,2026-04-19,2026-04-17,AIRI,buy_candidate,6m,0.21170668303966522,0.024124963209033012,0.21170668303966522,3.18
2026-04-19,2026-04-19,2026-04-17,APG,buy_candidate,6m,0.20827634632587433,0.047308288514614105,0.20827634632587433,46.75
2026-04-19,2026-04-19,2026-04-17,ANY,buy_candidate,6m,0.20713600516319275,0.02848784066736698,0.20713600516319275,1.51
2026-04-19,2026-04-19,2026-04-17,BMN,buy_candidate,6m,0.20641115307807922,0.025294777005910873,0.20641115307807922,26.26
2026-04-19,2026-04-19,2026-04-17,APLE,buy_candidate,6m,0.2006312906742096,0.03485046699643135,0.2006312906742096,13.0
2026-04-19,2026-04-19,2026-04-17,BORR,buy_candidate,6m,0.2002280205488205,0.041931163519620895,0.2002280205488205,5.57
2026-04-19,2026-04-19,,AGNCZ,insufficient_window,,,,,
2026-04-19,2026-04-19,,AGRZ,insufficient_window,,,,,
2026-04-19,2026-04-19,,AIIA,insufficient_window,,,,,
2026-04-19,2026-04-19,,ALIS,insufficient_window,,,,,
2026-04-19,2026-04-19,,ALISR,insufficient_window,,,,,
2026-04-19,2026-04-19,,AMBQ,insufficient_window,,,,,
2026-04-19,2026-04-19,,APAC,insufficient_window,,,,,
2026-04-19,2026-04-19,,APACR,insufficient_window,,,,,
2026-04-19,2026-04-19,,APACU,insufficient_window,,,,,
2026-04-19,2026-04-19,,APAD,insufficient_window,,,,,
2026-04-19,2026-04-19,,APADR,insufficient_window,,,,,
2026-04-19,2026-04-19,,APADU,insufficient_window,,,,,
2026-04-19,2026-04-19,,APXT,insufficient_window,,,,,
2026-04-19,2026-04-19,,APXTU,insufficient_window,,,,,
2026-04-19,2026-04-19,,APXTW,insufficient_window,,,,,
2026-04-19,2026-04-19,,BPACU,insufficient_window,,,,,
2026-04-19,2026-04-19,,BRBI,insufficient_window,,,,,
2026-04-19,2026-04-19,,BRCB,insufficient_window,,,,,
2026-04-19,2026-04-19,,BRKRP,insufficient_window,,,,,
2026-04-19,2026-04-19,,BRR,insufficient_window,,,,,
2026-04-19,2026-04-19,,BRRWU,insufficient_window,,,,,
2026-04-19,2026-04-19,,BRRWW,insufficient_window,,,,,
2026-04-19,2026-04-19,,BSAA,insufficient_window,,,,,
2026-04-19,2026-04-19,,BRK/A,missing_processed,,,,,
2026-04-19,2026-04-19,,BRK/B,missing_processed,,,,,
2026-04-19,2026-04-19,2026-04-17,AMRZ,no_buy,6m,0.19984912872314453,0.026638213545084,0.19984912872314453,57.7
2026-04-19,2026-04-19,2026-04-17,AROC,no_buy,6m,0.19745416939258575,0.028535455465316772,0.19745416939258575,36.3
2026-04-19,2026-04-19,2026-04-17,AIR,no_buy,1m,0.19741275906562805,0.030773958191275597,0.19741275906562805,123.04
2026-04-19,2026-04-19,2026-04-17,BRLSW,no_buy,1d,0.19690023362636566,0.05442352220416069,0.19690023362636566,0.0374
2026-04-19,2026-04-19,2026-04-17,BNKK,no_buy,6m,0.19547246396541595,0.037212394177913666,0.19547246396541595,2.92
2026-04-19,2026-04-19,2026-04-17,AGRO,no_buy,1d,0.19330787658691406,0.058465439826250076,0.19330787658691406,12.47
2026-04-19,2026-04-19,2026-04-17,BNAI,no_buy,1m,0.19317027926445007,0.040857527405023575,0.19317027926445007,38.01
2026-04-19,2026-04-19,2026-04-17,AIMDW,no_buy,6m,0.1925346553325653,0.025228437036275864,0.1925346553325653,0.0849
2026-04-19,2026-04-19,2026-04-17,BRIA,no_buy,6m,0.19175714254379272,0.03059222176671028,0.19175714254379272,1.7
2026-04-19,2026-04-19,2026-02-20,BTA,no_buy,6m,0.1886344701051712,0.02539503574371338,0.1886344701051712,9.72
2026-04-19,2026-04-19,2026-04-17,ARAI,no_buy,6m,0.18828924000263214,0.02797892317175865,0.18828924000263214,0.9341
2026-04-19,2026-04-19,2026-04-17,BRNS,no_buy,6m,0.18820087611675262,0.024286644533276558,0.18820087611675262,0.59
2026-04-19,2026-04-19,2026-04-17,BNR,no_buy,6m,0.1876494288444519,0.025066135451197624,0.1876494288444519,20.67
2026-04-19,2026-04-19,2026-04-17,AIRTP,no_buy,6m,0.18743814527988434,0.02500542812049389,0.18743814527988434,18.75
2026-04-19,2026-04-19,2026-04-17,ANNA,no_buy,1d,0.18592673540115356,0.03393324464559555,0.18592673540115356,3.64
2026-04-19,2026-04-19,2026-04-17,BROS,no_buy,6m,0.18518979847431183,0.03150033578276634,0.18518979847431183,53.44
2026-04-19,2026-04-19,2026-04-17,BNCWW,no_buy,6m,0.18381470441818237,0.02060759998857975,0.18381470441818237,0.0255
2026-04-19,2026-04-19,2026-04-17,BOSC,no_buy,6m,0.18369191884994507,0.026915233582258224,0.18369191884994507,4.61
2026-04-19,2026-04-19,2026-04-17,BTE,no_buy,1m,0.1835748702287674,0.03678333759307861,0.1835748702287674,4.06
2026-04-19,2026-04-19,2026-04-17,AIXI,no_buy,1m,0.18269824981689453,0.03206754848361015,0.18269824981689453,0.8705
2026-04-19,2026-04-19,2026-04-17,AGYS,no_buy,1m,0.1826763153076172,0.03372626751661301,0.1826763153076172,68.23
2026-04-19,2026-04-19,2026-04-17,ANNAW,no_buy,6m,0.1821984499692917,0.028168531134724617,0.1821984499692917,0.38
2026-04-19,2026-04-19,2026-04-17,AACBU,no_buy,6m,0.181223526597023,0.030706113204360008,0.181223526597023,10.53
2026-04-19,2026-04-19,2026-04-17,AJG,no_buy,6m,0.18114586174488068,0.023605234920978546,0.18114586174488068,221.61
2026-04-19,2026-04-19,2026-04-17,BNZIW,no_buy,1m,0.17986251413822174,0.030017342418432236,0.17986251413822174,0.018
2026-04-19,2026-04-19,2026-04-17,ALLY,no_buy,6m,0.17974287271499634,0.03730235621333122,0.17974287271499634,45.36
2026-04-19,2026-04-19,2026-04-17,AMBR,no_buy,6m,0.17938795685768127,0.027076849713921547,0.17938795685768127,2.39
2026-04-19,2026-04-19,2026-04-17,AIZ,no_buy,6m,0.17904037237167358,0.02517945133149624,0.17904037237167358,227.76
2026-04-19,2026-04-19,2026-04-17,BNC,no_buy,6m,0.1785525679588318,0.04130438715219498,0.1785525679588318,2.74
2026-04-19,2026-04-19,2026-04-17,AACB,no_buy,1m,0.17757558822631836,0.019135678187012672,0.17757558822631836,10.37
2026-04-19,2026-04-19,2026-04-17,ARMP,no_buy,6m,0.1769929677248001,0.025826487690210342,0.1769929677248001,11.5
2026-04-19,2026-04-19,2026-04-17,AMS,no_buy,6m,0.1764145791530609,0.03093581832945347,0.1764145791530609,1.58
2026-04-19,2026-04-19,2026-04-17,ANPA,no_buy,1m,0.17556039988994598,0.022104738280177116,0.17556039988994598,8.39
2026-04-19,2026-04-19,2026-04-17,AIRT,no_buy,6m,0.1751670092344284,0.02541710063815117,0.1751670092344284,22.25
2026-04-19,2026-04-19,2026-04-17,BR,no_buy,6m,0.17257505655288696,0.03325533866882324,0.17257505655288696,162.92
2026-04-19,2026-04-19,2026-04-17,BTAI,no_buy,6m,0.1723363995552063,0.036697953939437866,0.1723363995552063,1.15
2026-04-19,2026-04-19,2026-04-17,AQN,no_buy,6m,0.17233341932296753,0.03640354052186012,0.17233341932296753,6.38
2026-04-19,2026-04-19,2026-04-17,BRSL,no_buy,6m,0.17119674384593964,0.03247956186532974,0.17119674384593964,13.15
2026-04-19,2026-04-19,2026-04-17,ANTA,no_buy,6m,0.17108356952667236,0.027842091396450996,0.17108356952667236,9.3
2026-04-19,2026-04-19,2026-04-15,BSM,no_buy,6m,0.17077237367630005,0.04260130971670151,0.17077237367630005,13.63
2026-04-19,2026-04-19,2026-04-17,ARW,no_buy,1m,0.17073984444141388,0.029590124264359474,0.17073984444141388,174.97
2026-04-19,2026-04-19,2026-04-17,AMBO,no_buy,6m,0.17063523828983307,0.02813747711479664,0.17063523828983307,2.3005
2026-04-19,2026-04-19,2026-04-17,AOUT,no_buy,6m,0.17017655074596405,0.03059883788228035,0.17017655074596405,9.63
2026-04-19,2026-04-19,2026-04-17,AGO,no_buy,6m,0.17011213302612305,0.02698342688381672,0.17011213302612305,84.8
2026-04-19,2026-04-19,2026-04-17,AIFF,no_buy,6m,0.1699315309524536,0.025843659415841103,0.1699315309524536,1.76
2026-04-19,2026-04-19,2026-04-17,BNTX,no_buy,6m,0.1698652058839798,0.021350791677832603,0.1698652058839798,102.92
2026-04-19,2026-04-19,2026-04-17,AON,no_buy,6m,0.16983245313167572,0.02189875952899456,0.16983245313167572,331.8
