run_date,date,as_of_close_date,ticker,status,best_horizon,best_pred_prob,best_pred_std,best_adj_prob,close
2026-04-21,2026-04-21,2026-04-20,API,no_buy,6m,0.1800365447998047,0.026017101481556892,0.1800365447998047,3.88
2026-04-21,2026-04-21,2026-04-20,AROC,no_buy,6m,0.17975109815597534,0.027703214436769485,0.17975109815597534,35.88
2026-04-21,2026-04-21,2026-04-20,AMR,no_buy,1m,0.17947593331336975,0.0271823201328516,0.17947593331336975,195.115
2026-04-21,2026-04-21,2026-04-20,BSX,no_buy,1m,0.17702829837799072,0.01817459985613823,0.17702829837799072,60.99
2026-04-21,2026-04-21,2026-04-20,ARWR,no_buy,1m,0.17691181600093842,0.028383363038301468,0.17691181600093842,69.25
2026-04-21,2026-04-21,2026-04-20,AR,no_buy,1m,0.17593048512935638,0.02831808105111122,0.17593048512935638,36.575
2026-04-21,2026-04-21,2026-04-20,AACG,no_buy,1m,0.17550784349441528,0.01752253994345665,0.17550784349441528,1.01
2026-04-21,2026-04-21,2026-04-20,APWC,no_buy,6m,0.1729796975851059,0.0253608375787735,0.1729796975851059,1.36
2026-04-21,2026-04-21,2026-04-20,ANNAW,no_buy,6m,0.1707383394241333,0.0270925872027874,0.1707383394241333,0.4
2026-04-21,2026-04-21,2026-04-20,BPOPM,no_buy,6m,0.17014819383621216,0.020046643912792206,0.17014819383621216,25.47
2026-04-21,2026-04-21,2026-04-20,BRNS,no_buy,1m,0.1690484583377838,0.028694171458482742,0.1690484583377838,0.59
2026-04-21,2026-04-21,2026-04-20,AKA,no_buy,1m,0.16792167723178864,0.030654827132821083,0.16792167723178864,11.15
2026-04-21,2026-04-21,2026-04-20,ANNA,no_buy,1d,0.16733871400356293,0.04313088580965996,0.16733871400356293,3.84
2026-04-21,2026-04-21,2026-04-20,BPOP,no_buy,1m,0.16701914370059967,0.034009192138910294,0.16701914370059967,148.07
2026-04-21,2026-04-21,2026-04-20,BRLS,no_buy,6m,0.16696050763130188,0.028242027387022972,0.16696050763130188,0.93
2026-04-21,2026-04-21,2026-04-20,BNZI,no_buy,6m,0.16665084660053253,0.031434834003448486,0.16665084660053253,0.61
2026-04-21,2026-04-21,2026-04-20,BRLSW,no_buy,1d,0.16654376685619354,0.05080833658576012,0.16654376685619354,0.0374
2026-04-21,2026-04-21,2026-04-20,BNKK,no_buy,6m,0.16574905812740326,0.030423564836382866,0.16574905812740326,3.2
2026-04-21,2026-04-21,2026-04-20,BNBX,no_buy,6m,0.1654639095067978,0.034370649605989456,0.1654639095067978,0.5551
2026-04-21,2026-04-21,2026-04-20,AMRZ,no_buy,6m,0.16470514237880707,0.026859218254685402,0.16470514237880707,58.2
2026-04-21,2026-04-21,2026-04-20,AACBU,no_buy,6m,0.16446752846240997,0.023435503244400024,0.16446752846240997,10.53
2026-04-21,2026-04-21,2026-04-20,AIIOW,no_buy,1m,0.16386516392230988,0.026570040732622147,0.16386516392230988,0.0159
2026-04-21,2026-04-21,2026-04-20,BNED,no_buy,6m,0.16334833204746246,0.026586776599287987,0.16334833204746246,10.96
2026-04-21,2026-04-21,2023-12-29,ARMN,no_buy,6m,0.16322022676467896,0.026513854041695595,0.16322022676467896,3.285
2026-04-21,2026-04-21,2026-04-20,BRFH,no_buy,6m,0.16301031410694122,0.03149385005235672,0.16301031410694122,2.64
2026-04-21,2026-04-21,2026-04-20,BPYPO,no_buy,1m,0.1627023071050644,0.025568624958395958,0.1627023071050644,15.12
2026-04-21,2026-04-21,2026-04-20,ARMK,no_buy,1m,0.16189105808734894,0.0401725172996521,0.16189105808734894,45.61
2026-04-21,2026-04-21,2026-04-20,BROS,no_buy,6m,0.16168095171451569,0.03213270753622055,0.16168095171451569,54.61
2026-04-21,2026-04-21,2026-04-20,ALISU,no_buy,6m,0.16158492863178253,0.03119061142206192,0.16158492863178253,10.51
2026-04-21,2026-04-21,2026-04-20,BOX,no_buy,1m,0.16148173809051514,0.029429301619529724,0.16148173809051514,23.945
