[v5] device=cuda | visible GPUs=1 | current=cuda:0 (NVIDIA GeForce RTX 5090)
[v5] building frames for 7597 tickers ...
[v5] usable frames: 7094
[v5] eval_mode=time eval_tickers=0 val_tickers=0
[v5] scaler fit on 23948324 train rows
[v5] era-proxy audit (|rho|>0.2): none
[v5] class rates [train] (down/neutral/up): 1d:[0.21, 0.58, 0.21]  1w:[0.21, 0.57, 0.22]  1m:[0.21, 0.54, 0.24]  6m:[0.22, 0.51, 0.26]
[v5] class rates [val] (down/neutral/up): 1d:[0.21, 0.59, 0.21]  1w:[0.22, 0.56, 0.22]  1m:[0.23, 0.53, 0.23]  6m:[0.23, 0.52, 0.25]
[v5] class rates [oos] (down/neutral/up): 1d:[0.21, 0.58, 0.21]  1w:[0.21, 0.56, 0.23]  1m:[0.22, 0.53, 0.25]  6m:[0.23, 0.46, 0.31]
[v5] train windows: 23105132 | val windows (subsampled): 1000000 | eval tickers: 4992
[v5] schedule | 90255 steps/epoch | budget 1805100 steps (~20.0 ep) | t_max 1805100 | eval every 10000 steps | patience 10 (~100000 steps no-improve) | workers 8 | members [1, 2)
[v5] val constant-marginal baseline CE = 3.5478 (model must beat this to be learning anything conditional)
[member 1] start | 23105132 train / 1000000 val windows | 90255 steps/epoch | eval every 10000 steps | max 1805100 steps | patience 10
[member 1] step 4400/1805100 (ep 0.05) | loss 3.3885 | lr 3.00e-04 | 12.3 it/s | eta 2444m
[member 1] step 4500/1805100 (ep 0.05) | loss 3.3860 | lr 3.00e-04 | 12.3 it/s | eta 2443m
[member 1] step 4600/1805100 (ep 0.05) | loss 3.3815 | lr 3.00e-04 | 12.3 it/s | eta 2441m
[member 1] step 4700/1805100 (ep 0.05) | loss 3.3854 | lr 3.00e-04 | 12.3 it/s | eta 2440m
[member 1] step 4800/1805100 (ep 0.05) | loss 3.3815 | lr 3.00e-04 | 12.3 it/s | eta 2438m
[member 1] step 4900/1805100 (ep 0.05) | loss 3.3834 | lr 3.00e-04 | 12.3 it/s | eta 2437m
[member 1] step 5000/1805100 (ep 0.06) | loss 3.3818 | lr 3.00e-04 | 12.3 it/s | eta 2436m
[member 1] step 5100/1805100 (ep 0.06) | loss 3.3794 | lr 3.00e-04 | 12.3 it/s | eta 2435m
[member 1] step 5200/1805100 (ep 0.06) | loss 3.3802 | lr 3.00e-04 | 12.3 it/s | eta 2434m
[member 1] step 5300/1805100 (ep 0.06) | loss 3.3845 | lr 3.00e-04 | 12.3 it/s | eta 2433m
[member 1] step 5400/1805100 (ep 0.06) | loss 3.3683 | lr 3.00e-04 | 12.3 it/s | eta 2432m
[member 1] step 5500/1805100 (ep 0.06) | loss 3.3678 | lr 3.00e-04 | 12.3 it/s | eta 2431m
[member 1] step 5600/1805100 (ep 0.06) | loss 3.3668 | lr 3.00e-04 | 12.3 it/s | eta 2430m
[member 1] step 5700/1805100 (ep 0.06) | loss 3.3631 | lr 3.00e-04 | 12.3 it/s | eta 2429m
[member 1] step 5800/1805100 (ep 0.06) | loss 3.3678 | lr 3.00e-04 | 12.3 it/s | eta 2428m
[member 1] step 5900/1805100 (ep 0.07) | loss 3.3657 | lr 3.00e-04 | 12.4 it/s | eta 2428m
[member 1] step 6000/1805100 (ep 0.07) | loss 3.3653 | lr 3.00e-04 | 12.4 it/s | eta 2427m
[member 1] step 6100/1805100 (ep 0.07) | loss 3.3587 | lr 3.00e-04 | 12.4 it/s | eta 2427m
[member 1] step 6200/1805100 (ep 0.07) | loss 3.3620 | lr 3.00e-04 | 12.4 it/s | eta 2426m
[member 1] step 6300/1805100 (ep 0.07) | loss 3.3588 | lr 3.00e-04 | 12.4 it/s | eta 2425m
[member 1] step 6400/1805100 (ep 0.07) | loss 3.3551 | lr 3.00e-04 | 12.4 it/s | eta 2425m
[member 1] step 6500/1805100 (ep 0.07) | loss 3.3636 | lr 3.00e-04 | 12.4 it/s | eta 2424m
